侧身倚墙站立 单手轻撩耳边发丝||文艺,性感
双手抱臂直立 下巴微抬气场全开||飒爽,御姐
单脚交叉站立 身体微侧手插口袋
侧身站立 回头望向镜头发丝飘动
双腿交叉站立 单手托腮微微歪头||甜美
正面直立 双手自然下垂指尖微动
侧身靠墙站立 单腿微曲手抚墙面||性感
双脚分开站立 双手叉腰身体后仰||飒爽
单脚点地站立 手臂上举伸展懒腰
侧身直立 双手背在身后微微倾身||优雅
正面站立 双手交叠于身前微低头||温柔,甜美
倚墙站立 单腿弯曲踩墙手撩头发
双腿并拢直立 双手合十微微前倾
侧身站立 单手撩拨发丝微微侧头||文艺,性感
正面站立 双手插兜身体微微前倾||飒爽
交叉腿站立 双臂上举伸展身体舒展
侧身倚靠 单手撑墙另一手自然垂落
正面直立 单手叉腰另一手自然下垂||御姐
微侧站立 双手轻握于身前低头浅笑||温柔,甜美
侧身站立 单手抬起轻轻遮住额头
双腿微开站立 双手抱胸下巴微抬||飒爽,御姐
倚墙站立 身体微曲单手轻摸后颈肩
正面站立 双手背后身体微微前倾||优雅
侧身站立 回眸一笑发丝随风飞扬
单脚交叉站立 双手插兜微微侧头
托腮正坐 身体微微前倾看向镜头||温柔,甜美
盘腿坐地 双手向后撑地身体微微后仰
侧坐单腿伸展 单手撑地身体微微侧头
正坐双手抱膝 下巴搁于膝盖上看镜头||甜美
侧坐地面 手肘撑面手托腮微微侧头
正坐挺直腰背 双手自然搭于膝盖上||御姐
盘腿坐地 双手放膝上微微含胸低头
侧坐 单腿弯曲另一腿伸直手撑地面
正坐 双手交叠于腿上身体微前倾||温柔,甜美
跪坐地面 臀部坐于脚后跟上双手搭膝||优雅
侧坐地面 单手撑面另一手撩拨发丝
正坐 腰背挺直下巴微抬双肩向外展开||飒爽,御姐
盘腿坐地 双手撑后身体微微向后仰
侧坐 双腿并拢斜放双手交叠于腿上
正坐 微微含胸双手握拳自然搁于膝上||清冷
跪坐 双手搭于膝腰背挺直目视前方||御姐
侧坐 手肘撑地身体微倾撩拨发丝||文艺,性感
正坐 双手自然撑于两侧身体后仰||校园
盘腿坐地 单手托腮另一手放于膝上||甜美
侧坐跷腿 双手交叠自然地搁于腿上
正坐 身体微微侧斜双手搁于膝上低头
跪坐地面 单手撑地另一手轻搭于膝上
侧坐地面 双手向后撑地头微仰闭眼
正坐挺背 双手交叠微微前倾浅笑||甜美,温柔
盘腿坐地 双手撑膝背微微弯曲前倾||校园
单膝跪地 双手撑膝身体微微向前倾
双膝跪坐 双手自然地搭于大腿上
跪姿直立 腰背挺直双手叉腰挺拔||飒爽
单膝跪地 单手撑地另一手撩拨发丝
