正面顺光均匀照亮面部 高调明亮整体干净通透感||甜美
顺光高调照明 皮肤质感细腻无阴影干扰通透感||温柔
正面柔光顺光 高饱和度色彩还原真实自然通透||校园
强烈顺光硬光 面部扁平化细节锐利分明清晰感||飒爽
顺光暖调光线 空气中浮尘微粒清晰可见氛围感
正面顺光漫射 光线均匀包裹整体柔和通透自然||甜美,温柔
顺光高调照明 白净通透肤色如瓷质感细腻温润
正面硬光顺光 锐利高对比面部纹理清晰锐利感||御姐
顺光冷调照明 肤色偏冷整体清透干净清冷氛围||清冷
正面顺光柔光 光质绵密暗部极少细节保留完整感
顺光暖调高调照明 明亮温暖整体氛围愉悦轻快
正面漫射顺光照明 光线包裹全身均匀柔和自然
顺光硬光高饱和 色彩浓郁面部立体感强烈分明||热烈
正面顺光低调 暗背景前顺光打亮面部轮廓清晰
顺光柔光暖调照明 整体色调温暖柔和自然通透
侧面伦勃朗光 三角形光斑塑造面部立体轮廓感
侧光硬光冷调 明暗交界线锐利轮廓分明清晰感||清冷
蝴蝶光正面侧光 鼻下阴影柔和精致立体轮廓感||甜美
侧光暖调低调 半边面部沉浸暗影中氛围浓郁感
硬光侧光高对比 明暗分界线清晰锐利分明感强||飒爽
侧光柔光暖调 过渡柔和面部圆润饱满自然感强||温柔
侧逆光轮廓镀金 边缘发丝透亮氛围柔软温暖感||性感
侧光冷调低调 大面积深影包裹轮廓明暗交错感||清冷,御姐
伦勃朗光暖调 三角光斑柔和过渡自然流畅分明
侧光硬光暖调 明暗对比强烈立体感突出分明感
侧光漫射柔光 过渡区域宽广自然柔和通透感强||温柔,甜美
侧光高调照明 亮部充裕暗部细节保留完整自然
侧光低调冷调 暗影占据画面大部分区域氛围感
蝴蝶光柔光照明 鼻下阴影柔和精致立体轮廓感||甜美
侧光硬光高饱和 明亮面色彩浓郁暗影深沉分明
逆光轮廓光 发丝边缘镀上金色光晕氛围浓郁感
逆光硬光暖调 轮廓光锐利面部背光暗沉分明感
逆光柔光冷调 轮廓光柔和整体偏冷清冷氛围感||清冷
逆光高调照明 面部补光充足背景过曝明亮通透||甜美
逆光暖调光线 金色光晕包裹全身轮廓柔和自然||温柔,性感
逆光低调照明 面部深沉仅边缘发丝透亮氛围感||清冷
逆光硬光照明 轮廓光锐利分明面部全暗沉感
逆光漫射照明 轮廓光柔和过渡面部微亮通透感
逆光冷调光线 蓝色光晕包裹轮廓清冷氛围感强||清冷,御姐
逆光暖调高调 面部明亮背景金色过曝氛围感强||甜美
逆光硬光高饱和 轮廓光色彩浓郁夺目耀眼感强||热烈
逆光柔光暖调 轮廓柔和面部补光柔和自然感强||温柔
逆光低调暖调 面部沉暗边缘金色微光闪烁感强
逆光漫射冷调 轮廓光微弱整体清冷氛围感强烈
逆光硬光暖调 轮廓锐利金色光晕夺目耀眼感强
正上方顶光照明 面部眼眶阴影深邃鼻梁高光感
顶光硬光照明 额头鼻梁高光锐利眼窝深陷感
顶光柔光暖调 面部光影柔和上方明亮通透感||温柔
顶光冷调低调 眼窝阴影深邃整体冷峻氛围感强||清冷,御姐
顶光硬光高对比 面部骨骼感强烈立体分明感强||飒爽
顶光柔光高调 面部均匀明亮阴影极少通透感||甜美
顶光暖调光线 面部上方明亮下方渐暗过渡自然
顶光漫射照明 眼窝阴影柔和鼻梁高光自然分明
顶光冷调照明 眼窝深陷鼻梁锐利冷峻氛围感强
顶光硬光暖调 面部高光温暖阴影深邃分明感||性感
底光硬光照明 面部下方照亮轮廓诡异氛围感强
底光柔光暖调 下方补光柔和面部阴影反转感强||甜美
底光冷调照明 下方冷光打亮下颌轮廓冷峻感强
底光硬光高对比 下方强光面部阴影向上反转感||飒爽
底光柔光照明 下方柔和补光面部微亮通透感||温柔
底光暖调光线 下方暖光打亮颈部柔和自然分明
底光漫射照明 下方漫射光柔和面部阴影反转||温柔,甜美
底光硬光暖调 下方暖光强烈面部光影戏剧感强
底光冷调低调 下方冷光微弱面部深沉氛围感强
底光柔光高调 下方柔光补亮面部通透自然感||甜美
环境光暖调漫射 四面均匀柔和包裹全身氛围感
环境光冷调照明 漫射光均匀整体清冷氛围感强
环境光高调照明 明亮均匀无强烈阴影通透感||甜美,校园
环境光低调照明 暗沉均匀整体昏暗神秘氛围感||清冷
环境光暖调光线 空气中弥漫柔和暖色光芒感强
环境光柔光漫射 光线四面均匀过渡极柔和感强
环境光硬光照明 点光源交错明暗对比强烈感强||飒爽
环境光冷调低调 冷色暗调整体深沉氛围感强烈||御姐
环境光暖调高调 暖色明亮均匀无暗角通透感
环境光漫射高饱和 色彩还原丰富均匀自然感||校园
晨光柔光暖调 清晨漫射光柔和金色温暖感强
黄昏暖调逆光 金色轮廓光包裹全身温暖氛围||文艺,性感
夜景冷调低调 暗色环境局部光源点缀神秘感
晨光高调照明 清晨明亮通透肤色白净自然感||甜美,校园
黄昏暖调柔光 黄金色温漫射柔和慵懒氛围感
夜景硬光照明 点光源高对比局部照亮分明感||飒爽
晨光柔光冷调 清晨冷调光线清透干净通透感
黄昏暖调高饱和 色彩浓郁金色光线夺目耀眼||热烈
夜景暖调低调 暖色点光源暗背景衬托氛围感||性感
晨光漫射暖调 清晨雾气漫射光柔和温暖感强
黄昏逆光暖调 金色逆光轮廓光柔和温暖感强||文艺
夜景冷调照明 点光源冷色光交错神秘氛围感||清冷,御姐
晨光硬光暖调 清晨阳光锐利金色温暖氛围感||热烈
黄昏低调暖调 金色暖调暗部深沉氛围浓郁感
夜景高调照明 点光源照亮整体明亮通透感强
侧光暖调柔光 面部三角光斑过渡自然柔和感
逆光冷调硬光 轮廓光锐利面部冷峻氛围感强||清冷,御姐
顶光暖调柔光 面部上方明亮柔和通透自然感
底光暖调硬光 下方强光面部戏剧感强烈分明||热烈,性感
环境光冷调柔光 漫射均匀整体清冷氛围感强
顺光暖调高调 明亮温暖通透干净自然柔和感||甜美
侧光冷调低调 半边面部深影冷峻氛围浓郁感
逆光暖调柔光 金色光晕柔和面部微亮自然感||温柔,文艺
晨光冷调柔光 清晨冷色光线柔和清透自然感
黄昏暖调逆光 金色光晕轮廓透亮柔和温暖感||文艺,性感
窗边侧光照亮面部一侧 另一侧自然落入阴影||温柔,文艺
门缝方向窄束光切过画面 形成明确明暗边界||清冷,飒爽
阴天漫射天光均匀包裹主体 色彩柔和||温柔
清晨低角度暖光扫过轮廓 空气透明||甜美,文艺
蓝调时刻冷光与室内暖光交叠 色温对比清晰||清冷,优雅
雨天窗面反射冷色环境光 画面湿润安静||文艺,清冷
夕阳逆光穿过发丝 轮廓边缘泛金||温柔,热烈
白色顶光形成干净平面照明 影子柔短||优雅
侧前方硬光形成清晰鼻影 质感利落||御姐,飒爽
柔和蝴蝶光塑造面部对称明暗||优雅,温柔
低饱和灰蓝环境光 包裹主体形成冷静氛围||清冷
暖橙色室内灯与深褐背景形成复古调||文艺
浅金色反射光从地面补亮下颌||温柔
高反差黑白光影 强化轮廓与纹理||飒爽,清冷
薄雾中的逆光散射形成朦胧光晕||文艺
霓虹边缘光勾勒侧脸 背景保持低照度||热烈,性感
日落后的紫灰天空光 渐变过渡自然||清冷,文艺
晴天树影斑驳光落在衣物表面||校园,温柔
暖白环境光配中性阴影 还原真实肤色||优雅
烛光方向性暖光照亮面部局部 背景渐暗||性感,文艺
